trade,day,work_order_id,var_name,manhours_scaled,max_manhours_scaled,solver_value,contribution_scaled,solver_status
NC-E/I,tuesday,1442366,x_1442366_NC-E/I_tuesday,2,48,0,0,OPTIMAL
NC-E/I,tuesday,1437923,x_1437923_NC-E/I_tuesday,4,48,0,0,OPTIMAL
NC-E/I,tuesday,1437921,x_1437921_NC-E/I_tuesday,16,48,0,0,OPTIMAL
NC-E/I,tuesday,1437924,x_1437924_NC-E/I_tuesday,16,48,0,0,OPTIMAL
NC-E/I,tuesday,1437926,x_1437926_NC-E/I_tuesday,4,48,0,0,OPTIMAL
NC-E/I,tuesday,1449071,x_1449071_NC-E/I_tuesday,2,48,0,0,OPTIMAL
NC-E/I,tuesday,1449070,x_1449070_NC-E/I_tuesday,2,48,0,0,OPTIMAL
NC-E/I,tuesday,1449076,x_1449076_NC-E/I_tuesday,2,48,0,0,OPTIMAL
NC-E/I,tuesday,1449077,x_1449077_NC-E/I_tuesday,2,48,0,0,OPTIMAL
NC-E/I,tuesday,1449016,x_1449016_NC-E/I_tuesday,1,48,0,0,OPTIMAL
NC-E/I,tuesday,1449032,x_1449032_NC-E/I_tuesday,1,48,0,0,OPTIMAL
