work_order_id,trade,day,var_name,solver_value,solver_status
1442367,NC-LUBRICATOR,wednesday,x_1442367_NC-LUBRICATOR_wednesday,0,OPTIMAL
1442620,NC-LUBRICATOR,friday,x_1442620_NC-LUBRICATOR_friday,0,OPTIMAL
1442620,NC-LUBRICATOR,monday,x_1442620_NC-LUBRICATOR_monday,0,OPTIMAL
1442620,NC-LUBRICATOR,thursday,x_1442620_NC-LUBRICATOR_thursday,0,OPTIMAL
1442620,NC-LUBRICATOR,tuesday,x_1442620_NC-LUBRICATOR_tuesday,1,OPTIMAL
1442620,NC-LUBRICATOR,wednesday,x_1442620_NC-LUBRICATOR_wednesday,0,OPTIMAL
1442621,NC-LUBRICATOR,friday,x_1442621_NC-LUBRICATOR_friday,0,OPTIMAL
1442621,NC-LUBRICATOR,monday,x_1442621_NC-LUBRICATOR_monday,0,OPTIMAL
1442621,NC-LUBRICATOR,thursday,x_1442621_NC-LUBRICATOR_thursday,0,OPTIMAL
1442621,NC-LUBRICATOR,tuesday,x_1442621_NC-LUBRICATOR_tuesday,0,OPTIMAL
1442621,NC-LUBRICATOR,wednesday,x_1442621_NC-LUBRICATOR_wednesday,1,OPTIMAL
1442626,NC-LUBRICATOR,friday,x_1442626_NC-LUBRICATOR_friday,0,OPTIMAL
1442626,NC-LUBRICATOR,monday,x_1442626_NC-LUBRICATOR_monday,1,OPTIMAL
1442626,NC-LUBRICATOR,thursday,x_1442626_NC-LUBRICATOR_thursday,0,OPTIMAL
1442626,NC-LUBRICATOR,tuesday,x_1442626_NC-LUBRICATOR_tuesday,0,OPTIMAL
1442626,NC-LUBRICATOR,wednesday,x_1442626_NC-LUBRICATOR_wednesday,0,OPTIMAL
1442627,NC-LUBRICATOR,friday,x_1442627_NC-LUBRICATOR_friday,0,OPTIMAL
1442627,NC-LUBRICATOR,monday,x_1442627_NC-LUBRICATOR_monday,0,OPTIMAL
1442627,NC-LUBRICATOR,thursday,x_1442627_NC-LUBRICATOR_thursday,0,OPTIMAL
1442627,NC-LUBRICATOR,tuesday,x_1442627_NC-LUBRICATOR_tuesday,1,OPTIMAL
1442627,NC-LUBRICATOR,wednesday,x_1442627_NC-LUBRICATOR_wednesday,0,OPTIMAL
1442842,NC-MECHANIC EXE,friday,x_1442842_NC-MECHANIC EXE_friday,0,OPTIMAL
1442842,NC-MECHANIC EXE,monday,x_1442842_NC-MECHANIC EXE_monday,0,OPTIMAL
1442842,NC-MECHANIC EXE,thursday,x_1442842_NC-MECHANIC EXE_thursday,0,OPTIMAL
1442842,NC-MECHANIC EXE,tuesday,x_1442842_NC-MECHANIC EXE_tuesday,0,OPTIMAL
1442842,NC-MECHANIC EXE,wednesday,x_1442842_NC-MECHANIC EXE_wednesday,0,OPTIMAL
1442843,NC-MECHANIC EXE,friday,x_1442843_NC-MECHANIC EXE_friday,0,OPTIMAL
1442843,NC-MECHANIC EXE,monday,x_1442843_NC-MECHANIC EXE_monday,0,OPTIMAL
1442843,NC-MECHANIC EXE,thursday,x_1442843_NC-MECHANIC EXE_thursday,0,OPTIMAL
1442843,NC-MECHANIC EXE,tuesday,x_1442843_NC-MECHANIC EXE_tuesday,0,OPTIMAL
1442843,NC-MECHANIC EXE,wednesday,x_1442843_NC-MECHANIC EXE_wednesday,0,OPTIMAL
1442845,NC-MECHANIC EXE,friday,x_1442845_NC-MECHANIC EXE_friday,1,OPTIMAL
1442845,NC-MECHANIC EXE,monday,x_1442845_NC-MECHANIC EXE_monday,0,OPTIMAL
1442845,NC-MECHANIC EXE,thursday,x_1442845_NC-MECHANIC EXE_thursday,0,OPTIMAL
1442845,NC-MECHANIC EXE,tuesday,x_1442845_NC-MECHANIC EXE_tuesday,0,OPTIMAL
